owner_id, project_name, commit_hash, old_val, new_val
10001810,t3kit,9f631ec8e99d1af9a54a0213aa454d7da68358b5,2.1,3.1
10021339,openprescribing,f06a6d25e0395eaa815832b6aa1deacbb142456f,2,2.1
10021339,openprescribing,73aecaa9d7e4f116344135f5b183b598d06c4e06,2.1,2
10021339,openprescribing,c421ab00ae54682632e9f6f419f83c8a6d445574,2,2.1
10070724,gameon-sweep,eb3d317a8faf4614cf5cc5112260d8841d535d5a,2,2.1
10126402,website,686accff0d44d85a2a5dbaad2b948e3fe802be30,2,3.2
10128916,atlas,9fb3b244ec40a80fc6b244b1516b4868da9df644,3.0,3.5
10193576,dbs-back,317827af9d619bd2b2b3617eb39ee68b28d1f5b2,3.2,2
1022450,electricitymap,90e17b63e3467a264e95c601250bb6cbd4056742,2,3.2
1022450,electricitymap,834618252b8f034c9d22f97a69ad978e67f5fcf5,3.2,3.5
10369230,popcode,705df7df23bb18d36160d8310faa3ed2c2263bb4,3,3.7
10380049,softwarecraftsmanshipgc.github.io,9e48ad6b015cda8f6d1e27a965de89698b5f0503,2,3.4
105701,WebODM,f310826f14a969879d0af527e93d3f3552c011c1,2,2.1
10585786,pipeline,243d572290c487770a72652f11df8482ae8a1286,2,2.3
10585786,pipeline,a00e2b610760f619871ea9097ba18153034c9945,2.3,2.0
10585786,pipeline,1895e3b155cb7cbc111d201445e00cc045a52239,2.0,2
10585786,pipeline,75f1395bc2a7b40e7ffe241edb0d96df2062cfbe,2,2.3
10606682,womenrising,a3c149a220cd8bdd19aa0ff77b0cb459d3dd2211,2,3
10663333,dbmate,4e01c75eca658605a04c4701da8512088df35fd4,2.1,2.3
10910753,webui-aria2,15ad0ede2b498d5e21d9e60a8c02d113d2614102,2,3
10910753,webui-aria2,561458de643d157053e49e71a9be77529217e65f,3,2.3
10910753,webui-aria2,fa087cf91beaa57a979b5d2d31c3a2e2acdcb8fd,2.3,3.7
10966336,notify.moe,1a63d04e6408068a50bd883835015f281296e3e1,3,3.4
10966336,notify.moe,89766a526559185db89087d6fbc686982065d96e,3.4,3.7
110694,BlogSpider,ec81f6d0618ee0d897bad54ea415bf8b45137d69,2,3
11091938,GroupButler,4656876d4e6a971b0097514bc2c42ab5442a1e7f,3.3,3.6
1116987,santropol-feast,ab58c088ccf97de5d194579cd3baf0b13392c489,2,3
1116987,sous-chef,ab58c088ccf97de5d194579cd3baf0b13392c489,2,3
11262773,tmlpstats,00febc3e6226cca8abab05883e538f504c442f9e,2,2.1
11308795,yarpc-go,2fc04debcb9db630bde96c85f2a53c78a09d8735,2,2.1
11370803,mern-starter,b0f19bd82dd5e06330f21e5fc7264d98199542a1,3,3.4
11434407,pyaddepar,629eea2a61becd3f9228a611cb25b13b5443ca14,2,3.4
11434407,pyutil,a91811143ed461b0db9a7583ed7cc03dfb78c8ec,2,3.3
11434407,pyutil,475b6f08a359637cdc76a7448dc2a6fa3cf838d1,3.3,3.4
11434407,pyutil,ac4094330f68f5c483134f0562d1cd61bc0932db,3.4,3.6
1146,addons-server,8a646cadc436430138b3bb63eb2ca07dc6670cbf,2,2.3
11571718,website,965e42cd22a29843ecbbea5ed01d69b67bc49ed5,2,3
11580850,scinote-web,4b3d752290c3ff9cfc0044139c4c7da77fe4bfc0,2.1,2
116358,OIPA,e666324d8773df673e4a503a36160ff6606e2f63,2,3
116548,ios,02a527bfb3a429f059f87877be6642c000f7df05,3,2
11693976,dbt,da2d7ea8c0eebcd1fc49e3e22cd1674d6727ff42,2,3.5
11699622,hav,2f030ec1f6467c14c75d69b76ce8b9e31ae4c634,2,3
11699622,hav,34a040066d51eec4dd09224fa52cd904f1db83de,3,2
11699622,hav,c464cad160c3ecbbd282891727f5794b67666c78,3,3.7
11802837,smart-meter,b9b8a88ef0942370011c3ceb54ed83ad3a2bc3fb,3,3.1
11868133,laundree,6ac0503becaf1865e8cbb90f462c0c37f5501f49,2,3
1196704,uchan,03186a36a3b82ae8a738df908431b4bd291b3ba2,3,2.1
12144124,od-ot,f276bb09a3e08fba163473129fbcc733ff189013,2,3
12222982,leprikon,5969aa4684f5d8398a271a9da46737df8a95a6f5,2,3.4
12301919,supergiant,4fe045c8825cf9c8d7aca584eef614a810e2d7e1,2,3.7
12301919,supergiant,06e80647c560ee9b41b384514277a644237b6857,3.7,3
12301919,supergiant,44e93ce70f55221613f58b4983624fee4412999e,3,2
