owner_id, project_name, commit_hash, old_val, new_val
1010786,roc-eln-docker,cdb6bfac1f5311452d633564ea97253b95d4f499,cheminfo/rest-on-couch:v3.4.3,cheminfo/rest-on-couch:v3.5.0
1010786,roc-eln-docker,cdb6bfac1f5311452d633564ea97253b95d4f499,cheminfo/rest-on-couch:v3.4.3,cheminfo/rest-on-couch:v3.5.0
1010786,roc-eln-docker,5efe1eb6aa3d6d8a70cf4a3f6652f202c66b2dba,cheminfo/rest-on-couch:v3.5.0,cheminfo/rest-on-couch:v4.0.1
1010786,roc-eln-docker,5efe1eb6aa3d6d8a70cf4a3f6652f202c66b2dba,cheminfo/rest-on-couch:v3.5.0,cheminfo/rest-on-couch:v4.0.1
1010786,roc-eln-docker,9ba269057f6ddefff2c073c50297dc531e534e71,cheminfo/rest-on-couch:v4.0.1,cheminfo/rest-on-couch:v4.0.2
1010786,roc-eln-docker,9ba269057f6ddefff2c073c50297dc531e534e71,cheminfo/rest-on-couch:v4.0.1,cheminfo/rest-on-couch:v4.0.2
1010786,roc-eln-docker,46ad43829977b5d5a5056aafa18bd73677ce9071,cheminfo/rest-on-couch:v4.0.2,cheminfo/rest-on-couch:v4.2.1
1010786,roc-eln-docker,46ad43829977b5d5a5056aafa18bd73677ce9071,cheminfo/rest-on-couch:v4.0.2,cheminfo/rest-on-couch:v4.2.1
1010786,roc-eln-docker,6d1a1cf40507cd52baec45a667c398af1c999406,cheminfo/rest-on-couch:v4.2.1,cheminfo/rest-on-couch:v4.2.2
1010786,roc-eln-docker,6d1a1cf40507cd52baec45a667c398af1c999406,cheminfo/rest-on-couch:v4.2.1,cheminfo/rest-on-couch:v4.2.2
1010786,roc-eln-docker,7177018240b343151d8b5ae116e5ca14e184485a,cheminfo/eln-couchdb,klaemo/couchdb:2.0.0
1010786,roc-eln-docker,d03069e47bcc988c2f90a23e0130fa92b63c6ad7,cheminfo/eln-nginx-proxy,docker.io/cheminfo/eln-nginx-proxy
1010786,roc-eln-docker,d03069e47bcc988c2f90a23e0130fa92b63c6ad7,klaemo/couchdb:2.0.0,docker.io/klaemo/couchdb:2.0.0
1010786,roc-eln-docker,d03069e47bcc988c2f90a23e0130fa92b63c6ad7,cheminfo/eln-printer-proxy,docker.io/cheminfo/eln-printer-proxy
1010786,roc-eln-docker,d03069e47bcc988c2f90a23e0130fa92b63c6ad7,cheminfo/eln-flavor-builder,docker.io/cheminfo/eln-flavor-builder
1010786,roc-eln-docker,c556b42c60be57427cc9d2e8361c4bc8d48e9c4e,docker.io/klaemo/couchdb:2.0.0,docker.io/apache/couchdb:2.1.0
1010786,roc-eln-docker,3d7615d52fc72971b958e962491b96093f89fb17,docker.io/apache/couchdb:2.1.0,docker.io/couchdb:2.1.1
1010786,roc-eln-docker,f230c8b36093f5718258c419fb0f5251e75aca16,docker.io/cheminfo/eln-flavor-builder,docker.io/cheminfo/eln-flavor-builder:v0.0.1
1010786,roc-eln-docker,431db22af06892589a2d3e332e8f5fbfdfea76f5,docker.io/cheminfo/eln-nginx-proxy,nginx:1.12-alpine
1010786,roc-eln-docker,1c6190074bf3ecc522045a4e0c35ad71f7f4f6fe,docker.io/cheminfo/eln-printer-proxy,docker.io/cheminfo/eln-printer-proxy:v1.0.0
1010786,roc-eln-docker,ad21d7426e3ab32f639aeec96b5f9bfa0659ba0f,docker.io/cheminfo/eln-flavor-builder:v0.0.1,docker.io/cheminfo/eln-flavor-builder:v1.0.0
1010786,roc-eln-docker,f6d3710b6321c13ad51673f66925e234cd01fff5,docker.io/cheminfo/eln-printer-proxy:v1.0.0,docker.io/cheminfo/eln-printer-proxy:v1.2.0
1010786,roc-eln-docker,2f47d4b4a8eecd3b37a4e98132f4744f6a57339c,nginx:1.12-alpine,docker.io/nginx:1.14-alpine
1010786,roc-eln-docker,2f47d4b4a8eecd3b37a4e98132f4744f6a57339c,docker.io/couchdb:2.1.1,docker.io/couchdb:2.1
1010786,roc-eln-docker,f0dc36b484c8162581169ebee40067223bdb5734,docker.io/couchdb:2.1,docker.io/couchdb:2.2
1010786,roc-eln-docker,4378e5daa9239e7c0a00b0f37cff148df41be8d9,docker.io/cheminfo/eln-flavor-builder:v1.0.0,docker.io/cheminfo/eln-flavor-builder:v1.1.1
10128916,atlas,ee532779d6b3629ed0733668e813c34b1e615d29,build.datapunt.amsterdam.nl:5000/datapunt/atlas-health-checks:latest,repo.data.amsterdam.nl/datapunt/atlas-health-checks:latest
10150186,zentral,cc62b179e95c78d3e400397d1a889d4f8d65a30b,elasticsearch:1,elasticsearch:2
10150186,zentral,6631ab75add3132b31c2f5f2fc248dc8d441d6eb,postgres:9.4,postgres:9.6
10150186,zentral,6631ab75add3132b31c2f5f2fc248dc8d441d6eb,elasticsearch:2,elasticsearch:5
10150186,zentral,16970a07bc61212044ba1fa113d3acd340d37fe3,nginx,nginx:mainline-alpine
10150186,zentral,2dae1267af12d518ec5de8a07802160bc9b666bd,nginx:mainline-alpine,nginx:stable
10150186,zentral,27fbcb61e99034de97593240b179adcc2f774606,elasticsearch:5,docker.elastic.co/elasticsearch/elasticsearch-oss:6.0.0
10150186,zentral,c65aa8cd29ba357e98f2ed3997326d0dcbb42466,postgres:9.6,postgres:10
10150186,zentral,c65aa8cd29ba357e98f2ed3997326d0dcbb42466,docker.elastic.co/elasticsearch/elasticsearch-oss:6.0.0,docker.elastic.co/elasticsearch/elasticsearch-oss:6.2.3
10150186,zentral,b4982f29e2131bdd5eb2ff57a518226711a5b032,postgres:10,postgres:11
10150186,zentral,b4982f29e2131bdd5eb2ff57a518226711a5b032,docker.elastic.co/elasticsearch/elasticsearch-oss:6.2.3,docker.elastic.co/elasticsearch/elasticsearch-oss:6.6.1
101992,timetracker,f8e443344eba193f62af858dc9255e74c8ff1858,registry.netresearch.de/timetracker/timetracker,netresearch/timetracker
10222333,hack-cambridge-website,41688177852ffdb98ad642023a0e16665bcbe65e,kiasaki/alpine-postgres,postgres:9.6-alpine
10225701,ifsc-rest-api,241265796c9e8f0de31e658a46a764fe47e98a8a,techm/bank-apis,mangrep/bankapis
10225701,ifsc-rest-api,ac5cf6aea71b5e312485a781f9bec9049dbd6d27,mangrep/bankapis,techm/bankapis:v0.0.3
10305399,kafka-metrics,4bb9a999a5917aaed53e4b7e63da716c5a75c9c8,grafana/grafana,grafana/grafana:5.1.0
10305399,kafka-metrics,4bb9a999a5917aaed53e4b7e63da716c5a75c9c8,influxdb,influxdb:1.5.3
10365165,mondedie-chat,6980125650253db7e74ceb46c9113c272e929c53,redis:3.0.5,xataz/redis:3.0.5
10365165,mondedie-chat,6980125650253db7e74ceb46c9113c272e929c53,mondedie/chat,mondediefr/chat
10365165,mondedie-chat,5676d1c202a49336c59ef085b206b4a99a515263,mondediefr/chat,mondedie/chat
10365165,mondedie-chat,3f3ed40ce58483e3d819a87780820b2ce6adf365,mondedie/chat,mondedie/mondedie-chat
10365165,mondedie-chat,061976b5e42b6569e0086a4d7bb62db795246be8,xataz/redis:3.0.5,redis:3.0.7-alpine
10365165,mondedie-chat,061976b5e42b6569e0086a4d7bb62db795246be8,xataz/nginx:1.9.9,wonderfall/reverse
10365165,mondedie-chat,30667682b1fd8eda2d8c60b8420b51620286e057,redis:3.0.7-alpine,redis:3.2-alpine
10365165,mondedie-chat,30667682b1fd8eda2d8c60b8420b51620286e057,wonderfall/reverse,boring-nginx
10373057,webtester2-core,7d75348d94c58e870ccdd0cf7ab79eef95987d7c,selenium/hub:3.0.1-aluminum,selenium/hub:3.4.0
10373057,webtester2-core,7d75348d94c58e870ccdd0cf7ab79eef95987d7c,selenium/node-chrome:3.0.1-aluminum,selenium/node-chrome:3.4.0
10373057,webtester2-core,c21653eb34767227ad78542612358df869c799b9,selenium/node-firefox:2.53.1-beryllium,selenium/node-firefox:3.14
10373057,webtester2-core,c21653eb34767227ad78542612358df869c799b9,selenium/node-chrome:3.4.0,selenium/node-chrome:3.14
10373057,webtester2-core,c21653eb34767227ad78542612358df869c799b9,selenium/hub:3.4.0,selenium/hub:3.14
