"feature","supported_versions"
"blkio_config","2.0"
"cpu_count","2.0"
"cpu_period","2.0"
"cpu_rt_period","2.0"
"cpu_rt_runtime","2.0"
"credential_spec","3.0"
"device_cgroup_rules","2.0"
"device_read_bps","2.0"
"device_read_iops","2.0"
"device_write_bps","2.0"
"device_write_iops","2.0"
"dns_opt","2.0"
"group_add","2.0"
"isolation","2.0,3.0"
"link_local_ips","2.0"
"mac_address","1.0,2.0,3.0"
"mem_swappiness","2.0"
"oom_kill_disable","2.0"
"pids_limit","2.0"
"priority","2.0"
"rollback_config","3.0"
"storage_opt","2.0"
"userns_mode","2.0,3.0"
"volume_driver","1.0,2.0"
"weight","2.0"
"weight_device","2.0"
