owner_id, project_name, compose_file_path, version, image_with_tag, image, tag, custom_build
10001437, Jonathan56.github.io, "docker-compose.yml","",jekyll/jekyll:pages, jekyll/jekyll,pages, 
10001810, t3kit, "docker-compose.yml","3.1",mysql:5.7, mysql,5.7, 
10001810, t3kit, "docker-compose.yml","3.1",${WEB_IMAGE}, ${WEB_IMAGE},, 
10001810, t3kit, "docker-compose.yml","3.1",typo3solr/ext-solr:9.0.0, typo3solr/ext-solr,9.0.0, 
10001810, t3kit, "docker-compose.yml","3.1",mailhog/mailhog, mailhog/mailhog,, 
10013106, lwenkun.github.io, "webui-aria2\docker-compose.yml","",ndthuan/aria2-alpine, ndthuan/aria2-alpine,, 
10013106, lwenkun.github.io, "webui-aria2\docker-compose.yml","",busybox, busybox,, 
10013974, CompetencySite, "docker-compose.yml","",, ,, 1
10017379, ExKonsument, "docker-compose.yml","3",elixir:1.8.1-alpine, elixir,1.8.1-alpine, 
10021339, openprescribing, "docker-compose.yml","2.1",mdillon/postgis:latest, mdillon/postgis,latest, 
10021339, openprescribing, "docker-compose.yml","2.1",ebmdatalab/openprescribing-test:latest, ebmdatalab/openprescribing-test,latest, 
10021339, openprescribing, "docker-compose.yml","2.1",ebmdatalab/openprescribing-base:latest, ebmdatalab/openprescribing-base,latest, 
10021339, openprescribing, "docker-compose.yml","2.1",mdillon/postgis:latest, mdillon/postgis,latest, 
10021339, openprescribing, "docker-compose.yml","2.1",ebmdatalab/openprescribing-test:latest, ebmdatalab/openprescribing-test,latest, 
10023269, deck.gl, "docker-compose.yml","2",, ,, 1
10025246, kth-style, "docker-compose.yml","3.2",, ,, 1
1002762, auv, "docker-compose.yml","2",auv-build, auv-build,, 1
10040574, wpsite, "wp-content\plugins\fantastic-elasticsearch\vendor\ruflin\elastica\docker-compose.yml","",, ,, 1
10040574, wpsite, "wp-content\plugins\fantastic-elasticsearch\vendor\ruflin\elastica\docker-compose.yml","",, ,, 1
10040574, wpsite, "wp-content\plugins\fantastic-elasticsearch\vendor\ruflin\elastica\docker-compose.yml","",, ,, 1
10040574, wpsite, "wp-content\plugins\fantastic-elasticsearch\vendor\ruflin\elastica\docker-compose.yml","",ruflin/elastica-data, ruflin/elastica-data,, 
10049352, issue-reporting, "docker-compose.yml","2",mdillon/postgis:9.5, mdillon/postgis,9.5, 
10049352, issue-reporting, "docker-compose.yml","2",, ,, 1
