,project,commit_hash,compose_file,other_file,Unclear,Not related,new dockerfile,dockerhub to local or vice-versa,add a resource in dockerfile and run it in docker-compose or the opposite,dockerfile to control existing components,remove a component,changing paths,pining versions,externalisatoin,generalization of a component,redefinition of env,synchronize configs,update versions of dependencies,sync ports,parameterization,update version of the system,expose volume for docker-compose,"Specialization (moving something to dockerhub, having a dockerfile dedicated to only one component instaed of having it reusable for different components)",Other,sync parameters and names
8974,12634087/gazetteer,28d58df08906bb5a3ddea1f99b41be81945a955d,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
83372,8071965/backend,41c2b947bbeff52f000e1c5d83b7b88f81730875,docker-compose,dockerfile,,,,,,,1,,,,,,,,,,,,,,
42169,6539221/algobox,598f1939c72af1a34b85c9f40b450e4c8285101f,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
14901,1663117/docker-zulip,5748d900f2efe3073f5b9cf508423525c459c55e,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
53979,9667359/opencollective-api,29b70ca99e0bf082eefe0198b8a74de48b429648,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
25911,2956332/dokomoforms,69621428940aee19809520be9cfa3b8c306e22ae,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
28691,31921477/rss2kindle,1fbc9ec5cf7711908e07eddaeafc2a7cc67b6b43,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
78346,485526/nussknacker,04df71d8662d66067300b7395bf144d0e98fec52,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
59839,14498946/storer,712b35045067ed74aeb0da8b6d488e1d973c2d83,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,,1
8224,12145125/national-voter-file,061d5fb2a0898dbe03b39aa0ba10db426c6f8c54,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
24925,2873153/tensorbuilder,be41d3d23072df89d804a37d75318f701ef57c40,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
78505,5084100/dendrite,1bcb673e3c0d7bfe8551fd9ae2b4cce84a65e348,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
23214,266122/syncmysport-runkeeper,91bf92091c7d8640e56c91546d11f8941cbe64b7,docker-compose,dockerfile,,,,,1,,,,,,,,,,,,,,,,
65215,3089240/quasar_source,3b71e745600e5611e70676a73989202d8692e58e,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
30983,3693955/viaduct,a151d8de760fad1aa7b00c4fb4b62a5ba9a52503,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
84038,8571965/PyInvoice,a58bcb42a78dae84a6fab3bd817c5ad28cf22279,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
36822,5133245/izivi_relaunch,3e1c58fb81458394ef19235b904ab55585fcb61e,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
33514,4517457/courses,5b063724cf345336b291dbc7898ec005ce6be1f4,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,,1
41601,64110/warehouse,4deb332ffaf570e7bb99b34675b2958185cc1213,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
19076,218202/featuring,c3aad5973d183e6f05e81da82778607861799d9b,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
74083,36740528/webmail,38b9543a62a903bea6f24bddf223772124d9b2e1,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
41323,63289/docker-rails,718767a81336294d4ce27b6b066e261ed1863933,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
