,project,commit_hash,compose_file,other_file,Unclear,Not related,new dockerfile,dockerhub to local or vice-versa,add a resource in dockerfile and run it in docker-compose or the opposite,dockerfile to control existing components,remove a component,changing paths,pining versions,externalisatoin,generalization of a component,redefinition of env,synchronize configs,update versions of dependencies,sync ports,parameterization,update version of the system,expose volume for docker-compose,"Specialization (moving something to dockerhub, having a dockerfile dedicated to only one component instaed of having it reusable for different components)",Other,sync parameters and names
71580,35106331/EagleEye-ScriptLogPlatform,8e516783bc2ed74d5d054d8b36649aa7d9aa7424,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
21803,2513717/PackageGenerator,6e541f884779bff025ecefac74987286aac35915,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
77184,427318/docmag,d0579b792c687a8cc84c6f0283633dad460972a4,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
20575,2412058/blimp-cockpit,dc64db30e8afb939ea52af8aa21cd0b7cbad07a8,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
1736,10287804/spring-angular2-starter,6fb1140a7252939b8ce21feb33a940a38d1df293,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31569,3812767/open-moulinette,28e001b676068ab7aed9ece27d55df0426b4e835,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
9644,1310397/MockResponse,411222b807c5741a0259c7fc2ff06b43d10208a7,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
58071,13718349/eta,d288f6d81d6565c5080179ae26146cfc2e24c072,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
17497,1972929/joomla-pythagoras,fec79b0f168c7cc85e1b6f086d0ad0a479ece54b,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
399,10070448/webrecorder,a4708a910556d146c8e56e65765ec93ab552fe57,docker-compose,dockerfile,,,,1,,,,,,,,,,,,,,,,,
80644,706667/modproject,4b190a5846f1ff7622c98f04ba94bc696aecdd55,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
32850,4386707/ccxcon,a999c12d80e5cbc3e3dd00140aa2f0c3ad2edae5,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
42878,6722602/buildkite-cloudwatch-metrics-publisher,8a57b7ab950fb12c6d8c7a8ebf4da321615f2f63,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
37398,547071/starter-public-edition-4,7deae6d584edb193fad910feea3e6cef28ab5b7f,docker-compose,dockerfile,,,,,,,,,,,1,,,,,,,,,,
6823,116358/OIPA,44ca496cc462716044683fd026ce7094f30ddc86,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
41750,64335/sneakers,4103cb9c0a09bc89e369050a59dfe0d401955d15,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
9465,130601/listenbrainz-server,47eb7a96fba43a7eb04197021714596ce8198a75,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
12826,14498946/web,df6d6ff03aba7763c104fea1ca702eac3954f33e,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
69405,33776579/transtats,3f5a93169e1699373bf83d0a3f14ef9ab6ffac0e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
33244,442593/kata,e1f7a56dda82df4425a876df0b6b74edb1b57abd,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
38100,560206/verboice,9e1d6aaabe6284bcd565f9391024e9c5417bbc71,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
3116,1076179/address-boss,c7f69076c5b56e7fe20a50f44eb3309373064b9f,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
1876,10369230/popcode,fcf54625dc24eb3a68771c19b897da3a34b2c0b9,docker-compose,dockerfile,,,,,,,,,,,,,,,,1,,,,,
71695,35210485/zimfarm,521e28ec32d7506ef1745cebd302f32fbe0546ba,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
33984,4686130/indielangs,35ccfe69a2e9c54e76eddceb052663006d44bf71,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
6061,1146/MozDef,67c92b592e6548ea79cbf63337d670d38f535001,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31156,37289/ovation-webapi,5b803e152bdf61d2eb4c737b16ef748d2795ac2a,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
51768,884879/sandbox-todo-app,14615b93ea7c4a040d53a0aae8d87b71af17ab04,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
2601,10606682/womenrising,a3c149a220cd8bdd19aa0ff77b0cb459d3dd2211,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
36782,51270/wetty,616ba39386d3004c38840df1a89238603462ab44,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
27622,30957/kivy-server,38c0d26c7bef620a310316e87512086a6fe95683,docker-compose,dockerfile,,,,,,,,,,,,,,,,1,,,,,
66981,32196466/echo-bot,abc4b0d5b8e61e5aeeb59a7ad54ce00bb2177ebe,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
82332,7692560/ibis,5b083cf1508a23b791c7d0e89ce7db2036777e03,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31260,3761/ezpublish-docker,b89b0b27cc9a430ed3e453185162aed72ab52f96,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
1872,103654/popit_ng,b25de7a8115405728f1d2b12bed7c90b312f636a,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
5612,11434407/pyaddepar,e43faacd98729826e5e0f0275ebc5f536998e859,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
75710,3829045/RapBot,08875cde43aceaeb0e12a2211decddbd3c6f7c4a,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
80103,6624956/Squidwarc,efaf54fa5b6f010965ae854e27bb35195e6a3bf4,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
56391,12045284/nap,4b5f6216c540f1eb926f02c5ee52f821fd2678a7,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
5356,113872/akvo-dash,6a3ba1089f5cde04aad5d5321d98197dafdeb258,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
49845,8317577/datavault,56a891e00d6de622ee33787a56da6f90a5c5afbf,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
85263,9623175/neohabitat,c6e6e49d508cea80799154ceaf8d1bf17632f2d8,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
65070,3089240/quasar_source,afa045b8bf58b6ee293000914045377f26e7ab7d,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
55567,1111670/ansible_customer,8957b643b196c2492543338703e795ac14b73d7e,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
74604,37420273/missioncontrol,deebdab36a3f9f15cff9e2f0f95b31ddab35aeed,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
62797,2459782/osbs-box,f9817354766389db315b9cd7a20f6a6c07f34b0b,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
69989,3388353/mean-docker-compose,1a7440f13e70250da2b97ac26dbe4500d674c68c,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
83444,8111662/ng_userxp,82aeffaa35b55ebbe6dad13e39744f210f6ba331,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31572,3812767/open-moulinette,c666b8278fd624b19cfcf215af1568de45d60f1b,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
60754,1806667/snappy,f4e80c75ff1593f7365eaf449c64bb907f8d3a03,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
31991,396686/Chavah,4da31b7a74e6b546cc7e56d174ca0dd529d88223,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
14765,16626781/amadeuslms,b2f099b91c37fa300a6fc17078c86ecec3134ff4,docker-compose,dockerfile,,,,,,,,,,,,,,,,1,,,,,
37657,54788/raster-foundry,61224bf544a837e816598e349869292fe0c0cacd,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
29707,3421662/gitlab-ce-zh,6a602a1aa8b2805f63f61f40de1e9a64b6181000,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
26475,301703/segugio,c12feca039d5f48716507819a6c7a233d9547d8c,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
55310,1085511/java-data-structures,360cf6057beda8ec788ea0fb2295ecfeea4df214,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
51045,8703463/Django-ReactJS-Library-App,8330f9de5657e788747402dad65cf83fb1be0f59,docker-compose,dockerfile,,,1,,,,1,,,,,,,,,,,,,,
38213,5618371/okcandidate,128897c71cd9532040501ca737fcb8dedf8279ad,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
19109,218214/d-apache,4cbb68d5983aa976a78ba334896bb6e5c10ee5b9,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
9303,1285570/node-cqrs-framework,cff6b3602a2ff23fe7175904efec16d1052cf080,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
1214,10128916/bgt,94dece3cce9f1a0e08babd9c49094e87a4d93d3f,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31324,3765155/reformedacademy,5f5fe422cf2086147e27a386d486d89a25774402,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
29313,3387106/alpinepass,6b637b35e1dd521175657a0125e745b4de073723,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
70900,3452732/oada-srvc-docker,c5a7e34af6485b14c091e26f0ee6797aaa33b094,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
50615,8559313/hapi-es6-auth,632b032e34fa972d63724fb01d02f81d6fbc8c4d,docker-compose,dockerfile,,,,,1,,,,,,,,,,,,,,,,
11819,137973/seabase,bd5bc768b1c4e0b9893ba7ca43ad17c6362b0588,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
30357,3531083/HomoChecker,2dc4d10ac0f4b5c2b9f9228e7e9d8fb7a166f137,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
41666,64110/warehouse,116962abc6437c35056f3fb4c9c0a66fca6c2790,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
364,10070448/webrecorder,72d1597660cc3622eba8497a2b0a47aa12b68f4a,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
5260,1133553/cambridge_energy_app,187b07960ac0f34d93cddf2c700795c497e942d9,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
84355,8979781/uprise-app,88208a8409201d3af48ce82e0744d8526df369e6,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
31870,3938481/angular2-webpack-starter,92ee79cdce632b33c1045c44998fab4edf0d1f3d,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
78131,472755/cas-security-spring-boot-starter,bd796d6ffea90062d570da0c2730d7d7302da526,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
6526,11553926/yart,5e9d174531c34475aaa06f2e3316f0e110f1c72e,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
78290,485526/nussknacker,5b413ffd7f3184f277a402bb4810f3c933f90c1f,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
43195,67546/browbeat,1a03d17fbbcdb367fec65952d5f7d59c74077f85,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
13563,1541313/angular2-wordpress-portfolio,f3ef0dfecd67ad983e84f3cfd9543f2e54d78446,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
2428,10511967/oss-dashboard,86026fd3bb219a3a0f86f102b0ce670518fea9a4,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
46461,7483486/codepot-backend,1b2000420b8bc0d98163e76c334bf05210f51f6d,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
74394,370824/nav,bcaf9eaf8ee88723b08f340e4e73891e4f783f7d,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
76723,3943217/cds-videos,9e071d21bfe809f76a62f889a117246f039331a7,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
60845,184400/rpi-radio-player,eaebbf073c52f2babe3c3aa4dc4cfccf835c86df,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
56879,1221569/prest,f5bd547a1ea75a88c9f192db29ec5caa27d5fa47,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
20996,24544968/openwhyd,62764d2ae6130c126c7b515234ef5d2b6ce13970,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
19316,2188608/Oneline,611f82345106797bf3ebc4b9c5965750dd323f3a,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
59884,14498946/storer,017e6f2b70e0fc58e5e0b48c220595b67a253906,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
42934,6728243/autologin,bba59987c6d0a15602d561b9724d1a21e9a6b090,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
3878,110530/quran.com-api,9e0d9415e929e889a14ee81f297082e1400fb452,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
18394,2060022/patroni-boshrelease,ad89b5cb17c5577c05e2e5aa24bf79d8e875acc6,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
65981,3156306/comment-sidecar,d940d0ec032236387c2101f453f409c3afcfef9e,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
18770,2128215/rematch,7c42148843eb6ca9a851e8d2573f63ee3915b84d,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
22286,2562011/spatialconnect-server,18dc5a492262f8c7d26cf86e33e49425893a63d6,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,,1
70430,34354837/play-with-docker,755e3c77078d08fe741d9c1272afcf7c5f8f97f5,docker-compose,dockerfile,,,,,1,,,,,,,,,,,,,,,,
44919,7113/developer-portal,65553a109b874f7798266e03ad36321185e4a8c5,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
31900,3943503/sqat,ce2f1bae83f3786e868fda907923bfd6c451cb8e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
32226,41617/jaeger-client-java,4e21a6ef26356a53e4aa5d3ed8edc86330acbbc7,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
72216,35430001/gtd-util,b6b9f3076036b3d66f953767b9b6387ac11a8c50,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
25982,2977002/quality-time,70467beb99a2c79e28c7a74b9a166dc2af0e5795,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
27116,3043698/ReactiveTraderCloud,290fc95d3f63e21d239e768b29b402b6cefa9b48,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
3034,10714188/Karhu,cb0d1b22ed1fc6a60a59c351b87d98a56f5384a8,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
62397,2232995/isc,c7b963d356a7156ab853dcf882cfb8d85c83152f,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
22082,2518363/jk-demainilpleut,0d7bfc95daf4e7e894c6e8970b6ee0950b056137,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
15274,168733/build-a-saas-app-with-flask,a23903676ec470e0aafbdb8663d3c70e64af09f8,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
48256,8065911/hypercli,dd7436c832a5dd777d0276c3e3b1819062b86ebc,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
4025,11091938/GroupButler,1722ec66e53e9317cc30d770e18a9217e53527bd,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
33836,4603217/swift-helloworld,3e8185a7fa628542087a957bad28e3b01597b5c7,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
15861,177106/biosamples-v4,c803ffd12ce30591d8ce7ce725f27251d2d3fa29,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
37406,54788/ashlar,1ecd93a5faee9174438672e830c09184c1eedd63,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
52582,923182/libsacloud,a55d2a548978fd14b15b72ea13e874ec1ad061f8,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
51702,88105/nrod,5a4a13ae73e3a8d5a132d728b5eb23e20c7c4f56,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
15383,171757/activeadmin_settings_cached,64a713bbd157261f67e0e27e2587e5b4bdd36cd7,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
31646,3869109/OpenBazaar-Server,953712205a6caae99db0ec54f0079bbd8e71ac01,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
66115,31784941/cobweb-django,593434d7ec0b51e783bde1e5665219cd282fedf3,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
45759,7302222/nxfc,009539fac62f5d4785f1d1a224bad45751bb6ca7,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
39825,582265/next.filmfest.by,950c8a434d98751ff883f9b26a975777b450cc89,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
59823,14498946/storer,25ebd0c9f07cc0f45cc100133d2f0405f29d59aa,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
56207,11792790/GRE3000,1616f67c92a2289ee35ea6bde871e3ffb7352443,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
34099,47277/contraq,87f44e4c1709cad4c79203d91b20c766873f7a86,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
33353,4461961/finance,5f046acf87521d84c36b12aef5230245e05e8cfc,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
83921,8471616/piikki,a7c747f908e3b2ec0ffe1387d5b5352bb3054d8e,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
21296,2484863/blog.alejandrocelaya.com,14f2e946de632e93ce762a6e7711ddd01b9f8085,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
62906,2465568/bookmark-notes,c0f8bcd88124968b112a8cee818b1f83c9b5a434,docker-compose,dockerfile,,,,,,,,,,,,,,,,,1,,,,
45519,720739/dungeon,0ca5a64dacf0113b54018b85049becd53c4891ab,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
29625,3421662/gitlab-ce-zh,b328d19176370346be95a88b915becadf887dffc,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
18352,2059451/rom-sql,e99ad37b149270d69d31fcc3728743d25b95e719,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
6163,1146/normandy,5400c2c8deeeeab1644ed714f5b018a367618c99,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
66454,31908912/bashbot,25bbb2809976363df6ac3661659c78de63662a88,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
80093,6624956/Squidwarc,9aff301a73a44c34dc4522bea735c6ade7734b68,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
51708,8818301/lnd,a93736d21ef0eb6731de06c9e812276f534b3d14,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
48078,79562/bugsnag-java,7db885c957274822b45872a404e2f882fd184e34,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
45834,7311039/muxi_site,976b78e4ad7d80986dfd1c0931947d98b7a78a7f,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
45492,7185797/velov-companion-server,25c697d8c01580f72f62981db3542466d00215b4,docker-compose,dockerfile,,,1,,,,,1,,,,,,,,,,,,,
7022,1167783/docker-otrs,5fd4bc3f3aa6affc28e2c10d750b02624e232f41,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
57723,1348215/pg_party,787a2c080f06e32358ecc9373db2e8a88d3c34f7,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
50501,8549678/hack-the-arch,25bfddb99e0ee3b0476fa06d9563b495ca8f6149,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
6316,1146/telemetry-analysis-service,64ffc75a855f03b15dd7943b39fd734deccc5523,docker-compose,dockerfile,,,,,,,,,,,1,,,,,,,,,,
71015,34608619/aleph,9ba532bb245e046e2a075f20fb1f3764fe8cbe75,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
18651,21051/dotfiles,d0dc06b9ef7e4b3233c140cd945225ebdb3cbc9e,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
37906,5519598/naxos,ca9963111af0642c9903e3af777fb002e8a299f5,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
5167,11308795/yarpc-go,61629201bf7a9a425d53112bed4499115dc6aee7,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
81772,7616497/MTC,223e45dfc1a0060f560b21f0f78f8246f2c3b5ae,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
72278,35458144/weacast,3897c4cdf8bfc07bd15e099c0296ce3600563ebf,docker-compose,dockerfile,,,,,,,,,,,,1,,,,,,,,,
76857,39755/umakadata,1fb2737025a21498e4cd2aea37b3a92fce8672a1,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
2385,10456602/osm2vectortiles,db7ce816e69f7502bbbf399a52ba2b564749b326,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
13876,1575591/CTFd,b6d54b9ee9447ba05ef452f87243199ae655df14,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
29534,3421662/gitlab-ce-zh,c4ba39e6b35d7091cb3438bf0dc27e7a572215a2,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
75565,38142804/ContinuITy,56457e5cd7f83b1af9398aa3f46c0ffc9f9e3930,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
2003,10395724/DomeGIS,cb9bc1af60711a46693dadb1b6e09d2ee2703fc7,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
13639,154662/camunda-bpm-cloud,3b7c5eb6faa4741314e42e3cc763fb8732fb1918,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
54630,10087361/BuBoard,a894d823e58fa48e64d9917506aa6d75e92d5dff,docker-compose,dockerfile,,,,1,,,,,,,,,,,,,,,,,
26194,30098/tee-io,185d019be9fa7ecd58a219a6fcfe94a69c2351d6,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
56442,12045284/nap,f0665e1f6e4cc7a61aa3dfaf38b8f6293c692c0b,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,1,,,
78387,4903408/skeleton-docker-webapp,97e1699272875d0611157505a23258f75ffc9d62,docker-compose,dockerfile,,,,,,,,,,,,,,1,,,,,,,
33906,4638821/challenges,32167fe3c0c3b9072e4be586c821031d52d6333d,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
52498,91723/DotCi,3e9028f0033180de95fb46b3da01408dd833ceaa,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
54854,10317175/cauldron,400bb016575737c29472e1860e29d91dfe42955a,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,,1
57727,1348215/pg_party,aab5e4e70b77dacaca2403f11e8e7e70ab3add2f,docker-compose,dockerfile,,,,,,,,,,,,,,,,1,,,,,
19278,2186/MozDef,764de944265d2e55ca4e8cd51cff16dddfbc8550,docker-compose,dockerfile,,,,,,,,,,,,,,,,,,,,1,
76492,38824277/projectindoorweb,fa3e899bd637507e1591a2edee24d6df1c765a61,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
65955,31493449/uclapi,b3872507e48bb82200290c3e4a9f98b6d75647eb,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
56593,12136289/nevercodealone,b04154f7bc0c7d6b105543a1ba0bf5c8f036ad7d,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
32754,437369/djedi-cms,91ef299e5f4678238184a9a4478fc6fce700ad49,docker-compose,dockerfile,,,1,,,,,,,,,,,,,,,,,,
41311,6260305/bookbrainz-site,08cca8211043188364eaaebd3111b922a91f3057,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
23971,2749065/GeositeFramework,2e75cf29e1ccf030ff16131f7a4ffeb7e9a856cc,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
30574,3569669/eq-survey-runner,24f3a89ea1657ea0d7dd4d775e5e336590cebc21,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
64456,30430550/goodwork,c2ecfad402fc219ee335a69ab29540a829173af4,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
2274,10456602/osm2vectortiles,7c7d2b5e0bdc1f3073ed079a61d68ff7eebec2ad,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
79084,5821501/musicloud,d7aafc14661820b5449e73e8aa0a299a61ab57c1,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
52055,904650/Lighthouse-Service,d0e2e60941fbc7af87f68d5f0612aba14410dc9d,docker-compose,dockerfile,,,,,,,,,,,,,,,,,1,,,,
18204,2049524/quantum,6ffe369e4ffb9bd09a8e171a9706a4fa670d4022,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
17455,1954261/municipal-data,4595d8fa3081f727060feb8781a2d0b8fc38e73f,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
32094,4041618/om,c5c7d0b729734d57db104fbc6a2bfe08e2684a53,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
41385,63289/docker-rails,c10f34981d5dd2f86e1b1f97e11c95704f6114f6,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
32652,43404/fiware-orion,c810a8c654024e1eff1132e18ce56cbf6dd5f857,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
73786,36511656/tania,d9caf314a26b683180b599f7489cc09117fd03ef,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
69421,33797324/semitki,d20ed2b910481da0e3b0526e5e52cc39a9c779e6,docker-compose,dockerfile,,,,,,,,,,,,,,,1,,,,,,
72230,35444554/pdf-service,13193a9de63104d18246387fc4f81e8a15e5a895,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
62505,2347456/docker-bio,2ab1fdb4efbaf7e36bfe71ace9b13b46063869f3,docker-compose,dockerfile,,,,1,,,,,,,,,,,,,,,,,
7049,11693976/dbt,da2d7ea8c0eebcd1fc49e3e22cd1674d6727ff42,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
13103,150350/sherpa-prod,4ebdde6b9a8608c7327cd65e89a3185c2f4e4bbc,docker-compose,dockerfile,,,,,,,,1,,,,,,,,,,,,,
25748,29390/landsat-util,b546c761e446664ebc16bc17a0077a0b57c6269b,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
54849,10297643/testcube,4bfa03bb838f95819f67d5159f14bd00b97801e8,docker-compose,dockerfile,,1,,,,,,,,,,,,,,,,,,,
66706,32100900/idseq-web,5fdd53b08471d74a34e2127624eed2cee98575fa,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
14600,163350/sling-adaptto-2016,0155e32cc031cf21c844db43bb1148d707cd9a5d,docker-compose,dockerfile,1,,,,,,,,,,,,,,,,,,,,
