project_name,commit_hash,old_count,new_count,reason
ExKonsument,299a834d152e1cf3f9c240db88da8cbee6f36bee,2,1,removed rabbit_mq from test environment
delta,9d5f4ac4b2cfb551d513b3d366a16fbb387eef21,3,1,unknown
solidus,dd623530273474fffdf9b7af97245f98987bb7dc,2,1,unknown
electricitymap,84aefcda6e6306e7fbf907fbff7f90dde5b71fdf,2,1,unknown
electricitymap,74285708c31f9b42a9cf98619ed7b2f627d77789,4,1,cleanup
popcode,d92678d7e1d088b16a1a0af8875f9f68b4790f03,2,1,removing images that are used for development purpose
pystock,9425591386e798676d42a9ef11ac9738f8df92ea,2,1,uses the extends feature to inherit image from the parent
Deck-Service,7d4e2100cdcdb2e04c78b73123f2cac64df08f93,2,1,removing images that are used for development purpose
discussion-service,68520810f97e0a88c5582795d96740826fe06d1b,2,1,removing images that are used for development purpose
Microservice-Template,68520810f97e0a88c5582795d96740826fe06d1b,2,1,removing images that are used for development purpose
PDF-Service,68520810f97e0a88c5582795d96740826fe06d1b,2,1,removing images that are used for development purpose
collectors,c1bd4137c15c027bf1210b2ac9ac1151c033e6cf,12,1,removing images that are used for development purpose
scraper,c1bd4137c15c027bf1210b2ac9ac1151c033e6cf,12,1,removing images that are used for development purpose
pyaddepar,8197c70401ac003af7f7dfe23ee5e102f4243b6b,3,1,cleanup
pyaddepar,503c594b263bb5fc9fe3e74e720d4eb10e956c21,2,1,
pyutil,0eb5b575882756997cffe525ddea073366ed14b8,3,1,
pyutil,2f854cf2f0874fef382646c499024fbdfbd3098b,3,1,
kixi.datastore,28d2129c2c867ffb802c8c22eb96dd7740e55fde,2,1,
ava-website,e51e83ed37608bfaec569f923dc4030276de42f7,3,1,
OIPA,e819e7d6c40d60028f400b7ff1aa16c280062d0a,2,1,
asset-publisher,08ecbbbaf32ab02aecbba818d59b99f1a43e341b,2,1,
cloudfm,26910b45ef64bf57bf2bc11b39a37e7de6035316,2,1,
supergiant,cd208fdae62cd37964f740dbd5fad809714123f5,2,1,
kitahub,8b086219aad3d71645f43bfe8edda0134a92dcd4,2,1,
preparedness-for-resilience,badd60814738e4576ec5ffeeb1c712631d5ac9c6,2,1,
opt,4180f34c860c1273204e53d2dd8619be6c62d009,2,1,
Wave,d5afb2c5beb5fa5d588821adb818239230aac75c,2,1,
node-cqrs-framework,dacbb2863d7eb29bff8a92f26c566fc41a4438da,2,1,
9volt,364c1f6f46d8e1e6e7c220f871366e82c25277b0,2,1,
geotrellis-site,07a2a1682ecbb52fee4a2df2000422bcf9692ee6,3,1,
toga,4c82696880f78cf7ecfcad4e47394ed4b9554bb6,2,1,
activeadmin_settings_cached,cd63b2765ab87c9642103ed97948b4e95d96209a,2,1,
docker-centos-openssh,0d5d71fc93d6f4d9fd2d8376743c937dcc3c539f,2,1,
easy-jenkins,4f34998b3ab063fefe9828e60d8d98b88261e5b8,2,1,
redzilla,9507d14bc519e67ce5c57ead3dbead22ae2b2f23,3,1,
redzilla,9ec6aa2e56ac0f697399a6f1cb759e376aca014b,2,1,
kemalyst,dbb6693d0abe5b9bdffc310447f1157eaf0f903c,2,1,
worm,8612c15fe013c62c1d85cbecb0d8f46b1aafcf11,3,1,
reactive-activemq,ba8e97edd1faf3caa458e34f5c195016692e99eb,2,1,
dotfiles,413cee866bd4031ad9497322c0edc45eb6249d78,2,1,
django-monitor,f7a72c5828ce6c0a1cddb49243d7fd03d8bfbab4,4,1,
imsails,c5df89716e0e9585a0f5d6e58e6ed841c1b705b9,2,1,
mblog,16eba58fbbc51d4e0af8e57e89428ab5d7b41bf8,2,1,
jk-demainilpleut,e83fcedb34e6929084c96bdcd89a13e61d6d5b42,2,1,
wp-e2e-tests,5b9ddcaa3a604e53edda4121f3e5bb2262e08093,2,1,
data-pages,62a2cb3a90660364d6b20bc0c6fc1d2214f8f5d6,2,1,
pickem,508975f417ab9c0f6936a2a3c256fc76fc4abf90,2,1,
compute-cluster-sandbox,b7417e17e3b7a9c989a4ceef428f0709c53a8dde,4,1,
typescript-node,df6b00de8afab13405b84d4f1c9cc97931480b32,2,1,
tripal_elasticsearch,6b2726ecd628e52df7e18e56b3af4fcbfb3d322d,2,1,
Metis,486ce996447cbab0f473867d0fa19a2c62a60ae7,2,1,
geo_concerns,41b4d9dd3447a7e1b80e1caf4f1aa31726609bdd,5,1,
MiServer,108407a4659b4142be35d8ae0ccd0209fe3ceab3,2,1,
braindump,7cf4754bec8ad68c9bc809e7c2f4c4bc8c434c25,3,1,
ctx,c457859914a4c2bde657af5db9520bc2834778ca,2,1,
AspNetCoreSpa,e369cd476673e76018af40411deffeeb46cfec69,2,1,
docker-nsolid,63476ceb1596add618858ff1332b6d3050a6b1b3,2,1,
d0-reader,cc2c757679b414a8e87e22bd1f2af79a76b43c93,5,1,
emu,d3b8d8787771d28e65294cf3af4f2c2197663415,2,1,
pyramid-phoenix,781c591de4ecf69a067ecff5fa5fb232b74ffa18,4,1,
wetty,fcec29354f21cee7810e6718e084a4f926231102,2,1,
libreborme,63d28bcd4a04b8aa64c2648ff324ba9ed708f0bd,2,1,
seguir,58d3bbc32d4d344c72be132092a9b93ceb6b588c,3,1,
grounds-exec,30a8b3fbaba9be343db1b5f6b5e5a85ec56446b9,2,1,
sissvoc,d290b72388eeb08cfebcfe6fef9ad8b78a3465e4,2,1,
DIM,55358db06b22409d136d562ca2e80ae735f9c201,2,1,
MedBook_,831a8176b932098e52f998d3c94133f9bb6b6719,6,1,
OIPA,e819e7d6c40d60028f400b7ff1aa16c280062d0a,2,1,
omnisharp-emacs,672283f512ce8158e9971a6617a06ce7732e060e,2,1,
SpringRollConnect,7d58e17c9e45eb1108367ef30b58d6c58b19c20f,2,1,
