project_name,commit_hash,old_count,new_count,reason
rest-mock,abc2afc935e32e1769b2e8c2840b38cde7fc7f27,2,1,
rest-mock,d3ba42813727f413d1e6dac0eb0066fedc7eb4b7,2,1,
rest-mock,1a1bb242872c982fc5bcb0abb3c8e7635057b603,2,1,
seguir,58d3bbc32d4d344c72be132092a9b93ceb6b588c,3,1,
phobos_db_checkpoint,e5961f699496bc022ee0bbd91cced6e8292490c3,2,1,
Champaign,298f90854074ed66dc6f8ce9d90c9eb751331ffb,3,1,
champaign-ak-processor,1f9528c50700b6535500a8b5a8963b2bfffe5f74,2,1,
prov-db-connector,996e7a3a1872a74e766177c5f457781ef082a18b,2,1,
browbeat,15c108d3ddfad6be655f0fd54df831dd7d27fbb1,2,1,
accountgo,541dd96167ef8f6f0277fbf3ae766cdd3901f87a,3,1,
PhantomBot,60e37a8512eabfc9946264009d8ed59b1a20dd68,31,1,
puppet-maas,80a9c452d4da66df742e0cde9070afb83af24019,2,1,
docker-thumbor,fc95f3303706bb332ed1d0b780b71e2af6c5dfa6,3,1,
quickshake,da1c56bb086fd155ab6a05b861f74dae55c222f6,2,1,
quickshake,e3c41d31bcdda905bc3292e7006443316d811c08,2,1,
sonicdipstick,e114635e2f9462d8d5145d8b2fe6456124b0a3d1,2,1,
omnisharp-emacs,672283f512ce8158e9971a6617a06ce7732e060e,2,1,
fox,4528de30666c7ca87778529aad4bf3953ccc72d2,2,1,
chatty,a4c5c292bf24cfc2c045f41d562222255c4ca87d,2,1,
weaver-server,56b694c14da4a3a8162432cafeac4c7aaa380026,2,1,
weaver-server,8f499e11929fbbb960ca45c5f14d193d2615b2dc,4,1,
dataframe-js,d70d403e38d44aa20767e5270e677aa92eef4944,2,1,
planning-poker,86f466a6bbae5f8a55833eae190ef4b77a15f7eb,3,1,
wheelie,a253d434c94472832c8352da20f6050b252326cb,2,1,
DIM,55358db06b22409d136d562ca2e80ae735f9c201,2,1,
dockerized-drupal,4364a3a75f6a4c2d098c7e9d7fdec04e25d587d3,2,1,
blog3,d0988011bf50e9754bf26a3b8e04799be732a0e7,2,1,
morph,b11ffd23a0d938595b98eb7bca4d5bcac2b960d3,4,1,
drf-haystack,d5ab341d153bb5633cb0c311ce57c54b81f71696,2,1,
ground-control,67bb81dea705647dee6a14171f38b0ccf3cdc538,5,1,
isamuni,409695098581c70b471a34eabb70bfb9d57336a7,4,1,
gameontext.github.io,2aa64e56fe0b81c284d366e4e51167388ee6a2b9,2,1,
mojp-dbs-pipelines,5ac764bdcc3cb894433eaee3937e2c6b6b9fdd07,5,1,
youtube-fetcher,e16065aa0c2ccebdd3ecdc1ad9a203b093ef3b2d,2,1,
cortex-tgbot,c88a4a8af3a0b1855dc4292b6d966ce7d092dc88,2,1,
questions-service,68520810f97e0a88c5582795d96740826fe06d1b,2,1,
zendesk-tickets-machine,18f36894e23548d662205e12ecc4459491da6b5c,3,1,
ProfileManagementTool,112dcad9903fa0cc8f6ac6abdca3dd74cf458672,2,1,
mrbutler-bot,b87b4d5158c592c18ba3b54b4f052e542cbadd1d,5,1,
resource-watch,645b453586fce6ea08496d6382a4518a3c8ec731,2,1,
news-Digest,d54af26d843bed771284ff54d3f60191e432b6e6,2,1,
news-Digest,c23b596727fb54b1fe3ce7d7f3b372362ddbe23e,3,1,
art_meets_emoji,526981340ab7eb29bdf6ef33bcf52b8bf0db8d4e,2,1,
storer,dcbbe219df8fc94a4c63485e1b0dd7c3bb6f1552,2,1,
storer,66a07607382cb859afffd5121de17aa4e1a9e6b8,3,1,
wikicr,175af1afb5d6ccc1a926e771af0ff8553de42d68,4,1,
ynab-bank-importer,5e722e8f3b28abf3a675b3ee532d3b185f144d99,2,1,
openfact-sync,b522cd2e06e8e02509af3b836a41e053d49019be,4,1,
openfact-sync,0bef2c727e9f3337f9dee64e2cd3f6a3431a407a,2,1,
vue-storefront,12644377ef37cabecc73d7fdf20557e179062819,2,1,
netfyffe,0b095e539b7c5460df38f139aba397cc3e85a21e,2,1,
catering-colectivo,b4e64a75f35144779af18ed555d79d11967521e7,4,1,
bitshares-python-api-backend,f2fd4b2dd3460c89bcee37fee0aadbeb59aca27f,3,1,
Personal-Website,a25192d73d6f561e6502387cb7137e9793325127,2,1,
song-synonymizer,dfa07b7832f7cf6ab910002a8ab3a8847b93cd23,4,1,
hydrus,1fcc3e92533b5b0a9c515c05be9d4389b9f97d1d,2,1,
ghdata,726ed414b9f4a540fb8f651ba048bab33eb816a0,3,1,
boilerplate-crondaemon,bb06ac5afb38398e2ad0f0cd38ef12a298460ab7,2,1,
boilerplate-grpc-service,bb06ac5afb38398e2ad0f0cd38ef12a298460ab7,2,1,
boilerplate-model-service,bb06ac5afb38398e2ad0f0cd38ef12a298460ab7,2,1,
boilerplate-service,bb06ac5afb38398e2ad0f0cd38ef12a298460ab7,2,1,
auth-service,bf1292f64d6a522c96c46670d163e751f0e1474d,2,1,
gtd-util,491123d05389323b0cd9b273ff8f672fd77d2aeb,4,1,
dockery,7bec880332488a4e00180a1737934766b9121db8,2,1,
crabzilla,c7efde7555f1e8696792209d54b2e45188da8bdb,2,1,
crabzilla,40849c6d240b555d2cc6fe9128002b6cc6acfb8e,2,1,
Luminary,8e5ec1a03631ccc89ed77fe9ead952aa6b7ab6e8,2,1,
ammobin-api,bed9df9e811becebe483c35cee8ddd19dfa04b46,2,1,
tania,8c4a0323287b56f6a26dd0bc72213bd51dfd8b1e,2,1,
picluster,2febf2eec396e7a2a37c8f0db1ffee211c52d89e,3,1,
iespv-administrativo,75b43d10b0df97f04ec7c2de511835821cffbdcf,2,1,
WoWAnalyzer,60f78b2e6c4038c502bea6befcabf088677acfcd,4,1,
ggz,80b1bd1d1e70729b14b403ff0e80d25253918e2a,3,1,
alcor,57532a4b849124bb32023ddeb547c95a1d200a94,2,1,
gcon,17532c7c39ec1f292fa0dfb02a0a90f526a15dc8,2,1,
Consensus,da7786e159242f1813f5dab1dadc307189d06366,2,1,
ceron-analyze,179cd836ae8d771a8f88975bf5608f470e011a6e,3,1,
AP_ScoringGuide,aca6d2cb0a50b3847415b4712dad703531a41eac,2,1,
vue-storefront,12644377ef37cabecc73d7fdf20557e179062819,2,1,
MTC,199131c38441e64bb339593a18bd551c65c4f49d,2,1,
MTC,223e45dfc1a0060f560b21f0f78f8246f2c3b5ae,2,1,
itstime4science,be2c4506805890094fa98d6d86ac02b0d8375931,2,1,
reporter,8c964d483f56514f9c9936bedc38aadfbfa19f1e,2,1,
prestashop,8e8caa325ed012fd2301b5c8b67495e7dc623609,2,1,
tesDeploy,03ab3749cd03fd944a825d2baa716527e3a1c975,2,1,
tesDeploy,0f01ba4ce032753f7ba2e3b1cf9ecb7706482336,2,1,
tesDeploy,1c68f310f5ed8e91fc8e279c403fcc9fe753a33f,2,1,
weaver-database-virtuoso,f8fbba0da54613cdcc4d386b194e32a2d2a8a8bf,2,1,
tab,0b08377b3aa8d2653a1bf2e1b01b161b987e91f7,3,1,
nwen304-project3-team-sweet,df1eef5e8eda25fbb97abbaef00bb7e72ef61167,2,1,
