changed_feature,status,commit_hash,,comment,,persistdataintohost,sharing between component,sharing host data with container,unkown
volumes,iterable_item_removed,a4c3a662a3e3f8a26c7f85e4a41940be04db18a5,https://github.com/search?q=a4c3a662a3e3f8a26c7f85e4a41940be04db18a5&type=Commits,removed duplicate volume mapping and moved into Dockerfile,,,,,
volumes,dictionary_item_added,e8e897d26e0e2ca947ca6e5bc14610d2dca2688d,https://github.com/search?q=e8e897d26e0e2ca947ca6e5bc14610d2dca2688d&type=Commits,added volume to share data among services,,,1,,
image,values_changed,7e8a6297373be63a003847138cc3c34c6dcb5313,https://github.com/search?q=7e8a6297373be63a003847138cc3c34c6dcb5313&type=Commits,unknown,,,,,
volumes,values_changed,36c9299e843a7fb92878445ec889e6800fa5deeb,https://github.com/search?q=36c9299e843a7fb92878445ec889e6800fa5deeb&type=Commits,volume mapping for keeping the consistency between container and host,,,,,
volumes,values_changed,2854884d331808d6cf46b709cdb98464ae380156,https://github.com/search?q=2854884d331808d6cf46b709cdb98464ae380156&type=Commits,refactored file strcuture,,,,,
image,values_changed,8a9599fd3c5dad0b6af9239bf1798c0de51b78fd,https://github.com/search?q=8a9599fd3c5dad0b6af9239bf1798c0de51b78fd&type=Commits,used a different image (database vendor changed),,,,,
volumes,iterable_item_added,43608664cbdf8f853abdbc852377eb101318f59e,https://github.com/search?q=43608664cbdf8f853abdbc852377eb101318f59e&type=Commits,"new volume mapping added, not cloning repo each time in dockerfile, rather clone once in the host and map it to the container",,,,1,
volumes,values_changed,091ccd1dacbe32656ffdd3353a31af9088354152,https://github.com/search?q=091ccd1dacbe32656ffdd3353a31af9088354152&type=Commits,the path changed from absolute to relative,,,,,
volumes,dictionary_item_added,935e5eaba69d57c5f658920e2228c5d7d7dd3f17,https://github.com/search?q=935e5eaba69d57c5f658920e2228c5d7d7dd3f17&type=Commits,for persistant data,,1,,,
volumes,iterable_item_added,c7be054ab52f4cc6c5db74628b9b9d44ae0d8e83,https://github.com/search?q=c7be054ab52f4cc6c5db74628b9b9d44ae0d8e83&type=Commits,additional volume mapping added,,,,1,
volumes,values_changed,f1d4f22d7bc2a2d60aa3f46f29d54dad5a9687da,https://github.com/search?q=f1d4f22d7bc2a2d60aa3f46f29d54dad5a9687da&type=Commits,host path changed,,,,,
image,values_changed,ba8a139ac17593c0897aa575d3d67a245d3835c9,https://github.com/search?q=ba8a139ac17593c0897aa575d3d67a245d3835c9&type=Commits,unknown,,,,,
image,values_changed,bd64254ba63e42e5f4d678bc2244b73385a8f615,https://github.com/search?q=bd64254ba63e42e5f4d678bc2244b73385a8f615&type=Commits,unknown,,,,,
volumes,dictionary_item_added,836dbacbb268d5754d8357273affcf8b9cb7aabe,https://github.com/search?q=836dbacbb268d5754d8357273affcf8b9cb7aabe&type=Commits,new volume added to service,,,1,,
image,dictionary_item_added,7064d8f94d37e6e360a1da9c92dd666c45eb267c,https://github.com/search?q=7064d8f94d37e6e360a1da9c92dd666c45eb267c&type=Commits,unknown,,,,,
volumes,iterable_item_added,bf9811ef6e4168b8f252e92b238724a878083906,https://github.com/search?q=bf9811ef6e4168b8f252e92b238724a878083906&type=Commits,sharing host data inside container,,,,1,
volumes,type_changes,161b33e142821f6d38d1aa137ad108b899bb6c5e,https://github.com/search?q=161b33e142821f6d38d1aa137ad108b899bb6c5e&type=Commits,fixed syntax,,,,,
volumes,dictionary_item_added,3902450de95993c0365cb2584730439bd0f3d288,https://github.com/search?q=3902450de95993c0365cb2584730439bd0f3d288&type=Commits,new volume added to service,,,,1,
volumes,dictionary_item_removed,993532aced77342fe3ec31d5440904c8ea1de2b2,https://github.com/search?q=993532aced77342fe3ec31d5440904c8ea1de2b2&type=Commits,removed volumes from service as it hides the actual folder in Docker container,,,,,
image,values_changed,e1f41170b85ddf2bf53eee3fa5ad40637238fd2a,https://github.com/search?q=e1f41170b85ddf2bf53eee3fa5ad40637238fd2a&type=Commits,update docker image to match release number,,,,,
volumes,iterable_item_added,c232af28ca617be9dbc4d9732bb93f289f661757,https://github.com/search?q=c232af28ca617be9dbc4d9732bb93f289f661757&type=Commits,new file resource added,,,,1,
volumes,values_changed,871a5a517853760b4789fc728a91d6da281b9604,https://github.com/search?q=871a5a517853760b4789fc728a91d6da281b9604&type=Commits,refactored,,,,,
volumes,dictionary_item_removed,e95fe0adbad0f6c9b8d3b14e106ef6ae444b5c5d,https://github.com/search?q=e95fe0adbad0f6c9b8d3b14e106ef6ae444b5c5d&type=Commits,entire service removed,,,,,
image,values_changed,00fe72d8dafec72d86471f510f852c0d11d40e93,https://github.com/search?q=00fe72d8dafec72d86471f510f852c0d11d40e93&type=Commits,version pinned from latest,,,,,
image,values_changed,773ebf523a6a44523a69147e4c791a1e1fc16989,https://github.com/search?q=773ebf523a6a44523a69147e4c791a1e1fc16989&type=Commits,version pinned ,,,,,
volumes,values_changed,bc414a59cfcdcae9fa3752eb0980b3a1ebff2ea9,https://github.com/search?q=bc414a59cfcdcae9fa3752eb0980b3a1ebff2ea9&type=Commits,new resource added,,,,,
image,dictionary_item_added,e9e5385aaa69239b010929bcaebf81c96fdf790c,https://github.com/search?q=e9e5385aaa69239b010929bcaebf81c96fdf790c&type=Commits,unknown,,,,,
volumes,values_changed,8ad50adda6b1f4d21532411a8791c431f28ad3ca,https://github.com/search?q=8ad50adda6b1f4d21532411a8791c431f28ad3ca&type=Commits,path fixed,,,,,
image,values_changed,baafb7c71cae2acd49c6b1cf0cae81cea21f353e,https://github.com/search?q=baafb7c71cae2acd49c6b1cf0cae81cea21f353e&type=Commits,version pinned,,,,,
image,values_changed,ce01cd4fb0c9b596f8ef58905506f9aef45adda1,https://github.com/search?q=ce01cd4fb0c9b596f8ef58905506f9aef45adda1&type=Commits,different image used,,,,,
image,values_changed,64c1ad73e453bd93fa3042eb72787d013ba1c779,https://github.com/search?q=64c1ad73e453bd93fa3042eb72787d013ba1c779&type=Commits,image version upgraded,,,,,
volumes,iterable_item_added,622e226b24449a4ec13464d39269ab6c04d67a51,https://github.com/search?q=622e226b24449a4ec13464d39269ab6c04d67a51&type=Commits,host path changed,,,,1,
image,dictionary_item_added,0e557ab2fc59e6dadcdcf8a1550efb13213f06ad,https://github.com/search?q=0e557ab2fc59e6dadcdcf8a1550efb13213f06ad&type=Commits,added name for manually built image,,,,,
volumes,iterable_item_added,b663bb20b497bb4cbd572b6c9abe64f79b646c45,https://github.com/search?q=b663bb20b497bb4cbd572b6c9abe64f79b646c45&type=Commits,added new volume (lets encrypt),,,1,,
image,values_changed,38609635c304aa5cfdeb663c435a65e4ae0c9f56,https://github.com/search?q=38609635c304aa5cfdeb663c435a65e4ae0c9f56&type=Commits,image digest sha changed,,,,,
volumes,dictionary_item_removed,f16ab0eefba124e8177eb825e02578532e25e205,https://github.com/search?q=f16ab0eefba124e8177eb825e02578532e25e205&type=Commits,replaced with tmpfs to store data temporarily,,,,,
image,dictionary_item_added,7064d8f94d37e6e360a1da9c92dd666c45eb267c,https://github.com/search?q=7064d8f94d37e6e360a1da9c92dd666c45eb267c&type=Commits,official image added instead of custom image,,,,,
image,values_changed,ee8b6df2003ba08a1c825bdf249146039648f4c9,https://github.com/search?q=ee8b6df2003ba08a1c825bdf249146039648f4c9&type=Commits,official image used instaead of community image,,,,,
image,dictionary_item_removed,2cc7effb2baf69bffc1b582875c6980300dd7026,https://github.com/search?q=2cc7effb2baf69bffc1b582875c6980300dd7026&type=Commits,unknown,,,,,
image,values_changed,30667682b1fd8eda2d8c60b8420b51620286e057,https://github.com/search?q=30667682b1fd8eda2d8c60b8420b51620286e057&type=Commits,image version upgraded,,,,,
volumes,values_changed,c6253c2a74d5e3f072f98e908971b3e9264c977e,https://github.com/search?q=c6253c2a74d5e3f072f98e908971b3e9264c977e&type=Commits,volume mapping changed,,,,,
volumes,values_changed,b85dd093e7833bda47ae95b321e8f54223606699,https://github.com/search?q=b85dd093e7833bda47ae95b321e8f54223606699&type=Commits,refactored,,,,,
volumes,iterable_item_added,b1c6dc0e7b25d1009fe8844b7291f3b49c61fdef,https://github.com/search?q=b1c6dc0e7b25d1009fe8844b7291f3b49c61fdef&type=Commits,new volume mapping added,,,,1,
volumes,values_changed,f8483dbe91d89841ae1ccf5bcbd59c532dd42ab4,https://github.com/search?q=f8483dbe91d89841ae1ccf5bcbd59c532dd42ab4&type=Commits,new volume mapping added to copy docker inside the container,,,,,
image,values_changed,5037543a1902e6d264c82e2aebbfafa6d21fee2c,https://github.com/search?q=5037543a1902e6d264c82e2aebbfafa6d21fee2c&type=Commits,different image used,,,,,
volumes,values_changed,a86ecc384b67d66bec1d95dd3f57c2740d8719a3,https://github.com/search?q=a86ecc384b67d66bec1d95dd3f57c2740d8719a3&type=Commits,added delegated mount option to increase speed as they don't need live syncronization,,,,,
image,values_changed,1da4aeab80a20fad7e662907345aee3298fa8d1f,https://github.com/search?q=1da4aeab80a20fad7e662907345aee3298fa8d1f&type=Commits,used a different image,,,,,
volumes,dictionary_item_removed,4d7162a1f3be5908ec77f8473f9aceb4c659b56d,https://github.com/search?q=4d7162a1f3be5908ec77f8473f9aceb4c659b56d&type=Commits,unknown,,,,,
volumes,iterable_item_added,306e2c068d2218877668c19b8b93819e0a8229ec,https://github.com/search?q=306e2c068d2218877668c19b8b93819e0a8229ec&type=Commits,new volume added,,,,,1
image,values_changed,ba93e89554b44262e12ac5f87a30cd1344b78062,https://github.com/search?q=ba93e89554b44262e12ac5f87a30cd1344b78062&type=Commits,version changed,,,,,
image,values_changed,94b77db0eaa07bec7afb0cfd127fcfd65aaf7959,https://github.com/search?q=94b77db0eaa07bec7afb0cfd127fcfd65aaf7959&type=Commits,image tag added,,,,,
